team,rating
Netherlands,1694.51
USA,1627.48
Argentina,1773.88
Australia,1488.72
Japan,1559.54
Croatia,1645.64
Brazil,1841.3
Korea,1530.3
France,1759.78
Poland,1548.59
England,1728.47
Senegal,1584.38
Morocco,1563.5
Spain,1715.22
Portugal,1676.56
Switzerland,1635.92
Ecuador,1464.39
Qatar,1439.89
Iran,1564.61
Wales,1569.82
Mexico,1644.89
Saudi,1437.78
Tunisia,1507.54
Denmark,1666.57
Germany,1650.21
Costarica,1503.59
Belgium,1816.71
Canada,1475
Cameroon,1471.44
Serbia,1563.62
Uruguay,1639.71
Ghana,1393
